NetworkName,0VOEM1,0VOEM2,0VOEM3,0VOEM4,0VOEM5,0VOEM6,0VOEM7,0VOEM8,0VOEM9,0VOEM10,0VOEM11,0VOEM12,1VOEM1,1VOEM2,1VOEM3,1VOEM4,1VOEM5,1VOEM6,1VOEM7,1VOEM8,1VOEM9,1VOEM10,1VOEM11,1VOEM12,2VOEM1,2VOEM2,2VOEM3,2VOEM4,2VOEM5,2VOEM6,2VOEM7,2VOEM8,2VOEM9,2VOEM10,2VOEM11,2VOEM12,3VOEM1,3VOEM2,3VOEM3,3VOEM4,3VOEM5,3VOEM6,3VOEM7,3VOEM8,3VOEM9,3VOEM10,3VOEM11,3VOEM12
353,127,587,146,242,785,181,114,425,68,72,425,138,136,0,177,120,1072,0,0,0,0,0,617,68,66,559,108,129,957,191,71,379,169,40,635,119,92,0,67,281,1185,0,0,0,0,0,774,40
354,70,718,204,196,631,145,93,352,74,105,360,127,190,0,196,87,782,0,0,0,0,0,592,65,38,735,217,86,640,128,80,422,191,40,630,118,91,0,108,185,763,0,0,0,0,0,881,46
355,88,634,114,246,794,183,90,637,66,97,518,187,211,0,235,113,1012,0,0,0,0,0,650,72,74,551,173,116,858,171,86,438,193,45,708,132,133,0,92,124,1012,0,0,0,0,0,919,48
356,119,731,206,233,754,174,74,415,53,106,476,136,216,0,261,106,945,0,0,0,0,0,681,75,79,741,209,109,812,162,79,284,160,48,753,141,115,0,112,247,968,0,0,0,0,0,989,52
357,71,737,207,221,714,164,101,552,45,68,518,94,110,0,141,110,989,0,0,0,0,0,744,82,93,507,257,117,868,173,92,367,138,45,708,132,103,0,87,145,1055,0,0,0,0,0,1005,52
358,112,637,210,225,726,167,78,460,41,49,395,189,173,0,206,106,945,0,0,0,0,0,615,68,79,560,213,108,806,161,85,499,166,42,656,123,104,0,133,266,971,0,0,0,0,0,907,47
359,86,559,187,236,762,175,99,556,69,83,282,105,145,0,206,115,1028,0,0,0,0,0,512,56,60,687,175,135,1007,201,72,434,76,37,574,107,127,0,139,167,1216,0,0,0,0,0,780,41
360,99,643,109,234,756,174,77,407,76,99,449,138,134,0,160,115,1030,0,0,0,0,0,572,63,111,587,170,119,887,177,35,311,147,38,585,109,115,0,100,182,1068,0,0,0,0,0,751,39
361,46,450,124,168,543,125,59,364,34,80,410,153,109,0,116,81,727,0,0,0,0,0,534,59,88,410,139,82,609,121,81,170,111,33,520,97,67,0,39,101,745,0,0,0,0,0,703,37
362,107,450,176,155,499,115,61,305,37,126,383,196,127,0,70,72,642,0,0,0,0,0,558,62,84,372,156,72,531,106,71,264,99,32,502,94,67,0,66,75,642,0,0,0,0,0,693,36
363,69,410,106,149,480,110,59,319,47,71,266,153,130,0,147,68,609,0,0,0,0,0,388,43,63,374,181,67,497,99,58,169,117,27,428,80,57,0,74,95,606,0,0,0,0,0,634,33
364,94,451,169,205,661,152,45,402,43,92,282,147,103,0,136,102,915,0,0,0,0,0,447,49,102,279,122,108,807,161,69,315,108,30,466,87,55,0,60,69,1021,0,0,0,0,0,625,32
365,45,417,132,114,366,84,84,345,47,128,287,183,101,0,109,52,463,0,0,0,0,0,453,50,75,266,196,43,317,63,73,289,123,29,449,84,94,0,69,64,329,0,0,0,0,0,683,35
366,83,361,128,176,566,130,49,342,40,104,151,173,119,0,172,84,753,0,0,0,0,0,296,32,69,166,122,90,667,133,69,242,101,24,374,70,66,0,85,58,824,0,0,0,0,0,537,28
367,68,347,143,169,547,126,64,267,43,71,323,149,89,0,155,84,753,0,0,0,0,0,477,53,102,558,152,86,637,127,95,223,98,33,505,94,85,0,77,52,765,0,0,0,0,0,715,37
368,67,454,158,148,481,111,95,268,58,83,309,118,80,0,132,74,660,0,0,0,0,0,506,56,112,227,107,61,453,90,99,277,169,33,510,95,41,0,77,82,563,0,0,0,0,0,681,35
369,42,439,147,142,459,106,50,368,45,133,303,141,151,0,98,62,556,0,0,0,0,0,450,50,64,395,185,59,441,88,59,289,113,28,438,82,70,0,47,91,518,0,0,0,0,0,648,34
370,68,541,87,165,534,123,73,361,40,102,291,100,93,0,47,82,729,0,0,0,0,0,406,45,94,510,73,84,619,123,90,222,98,24,362,67,54,0,71,90,772,0,0,0,0,0,499,26
371,103,363,158,160,514,118,46,305,41,139,254,141,135,0,143,74,657,0,0,0,0,0,413,45,46,353,137,75,554,110,82,151,131,29,444,83,46,0,58,53,693,0,0,0,0,0,630,33
372,97,512,121,147,477,110,95,339,35,93,397,121,86,0,139,72,648,0,0,0,0,0,552,61,79,196,163,78,576,115,59,212,65,36,552,103,54,0,50,65,715,0,0,0,0,0,736,38
373,66,502,121,143,458,105,79,362,40,92,380,88,109,0,122,67,597,0,0,0,0,0,522,58,75,362,103,60,447,89,76,230,142,33,515,96,61,0,52,71,535,0,0,0,0,0,660,34
374,73,443,96,167,538,124,81,268,45,78,179,146,111,0,91,80,718,0,0,0,0,0,321,35,86,285,139,81,602,120,65,246,110,22,329,61,79,0,92,72,724,0,0,0,0,0,507,26
375,74,368,157,175,566,130,91,373,46,62,402,169,95,0,165,87,776,0,0,0,0,0,585,65,99,422,53,86,641,128,68,209,123,38,600,112,45,0,72,96,810,0,0,0,0,0,685,36
376,116,496,134,167,542,125,110,265,32,107,199,149,101,0,193,82,733,0,0,0,0,0,399,44,67,462,143,84,621,124,65,250,127,31,473,88,54,0,52,72,775,0,0,0,0,0,647,34
377,76,398,124,208,674,155,83,351,52,91,298,111,122,0,151,102,915,0,0,0,0,0,455,50,86,307,175,108,806,161,103,176,125,32,484,90,87,0,65,61,988,0,0,0,0,0,724,38
378,79,435,205,155,497,114,69,253,46,89,280,166,116,0,138,73,650,0,0,0,0,0,499,55,90,381,111,69,513,102,48,248,120,33,509,95,58,0,47,94,626,0,0,0,0,0,635,33
379,66,437,142,172,559,129,73,286,33,106,313,131,127,0,149,82,733,0,0,0,0,0,476,52,105,362,154,84,624,124,61,339,86,32,500,93,75,0,59,87,757,0,0,0,0,0,680,35
380,29,514,142,183,591,136,81,379,44,107,291,153,96,0,113,91,814,0,0,0,0,0,463,51,96,305,157,93,684,136,89,280,125,30,460,86,74,0,47,76,839,0,0,0,0,0,671,35
381,44,330,99,99,319,73,53,183,33,46,196,67,80,0,102,46,411,0,0,0,0,0,314,34,53,283,94,45,331,66,44,143,73,22,332,62,40,0,48,79,402,0,0,0,0,0,447,23
382,44,261,98,91,292,67,30,129,35,41,279,56,78,0,124,42,372,0,0,0,0,0,367,40,36,249,92,39,282,56,51,186,96,26,392,73,37,0,34,87,340,0,0,0,0,0,509,26
383,41,301,88,99,315,72,46,187,28,37,238,96,81,0,97,45,405,0,0,0,0,0,335,37,34,145,137,45,331,66,28,171,85,23,345,64,35,0,32,67,407,0,0,0,0,0,485,25
384,33,188,95,77,246,56,54,154,16,44,215,104,55,0,90,37,324,0,0,0,0,0,328,36,44,204,111,32,237,47,56,119,80,22,334,62,41,0,20,88,275,0,0,0,0,0,476,25
385,41,276,97,90,287,66,63,137,30,54,263,61,66,0,105,42,377,0,0,0,0,0,381,42,42,252,102,38,285,57,36,142,92,26,388,72,35,0,38,76,345,0,0,0,0,0,500,26
386,44,314,102,102,326,75,30,252,26,48,193,63,81,0,82,47,422,0,0,0,0,0,293,32,46,303,133,48,348,69,51,179,75,19,300,56,44,0,47,80,421,0,0,0,0,0,460,24
387,41,310,104,111,354,81,50,147,36,51,173,93,111,0,82,49,435,0,0,0,0,0,295,32,56,180,110,48,357,71,57,181,71,20,301,56,51,0,58,61,425,0,0,0,0,0,445,23
388,43,209,117,84,271,62,33,193,18,33,238,83,30,0,123,43,387,0,0,0,0,0,350,38,39,203,88,41,301,60,53,124,90,25,378,70,46,0,29,88,356,0,0,0,0,0,494,25
389,40,299,110,99,319,73,69,173,29,41,183,72,78,0,91,46,413,0,0,0,0,0,326,36,49,148,99,48,357,71,43,195,53,22,333,62,44,0,47,118,432,0,0,0,0,0,452,23
390,35,245,109,88,286,66,69,187,37,53,210,91,91,0,79,39,349,0,0,0,0,0,350,38,30,153,109,41,294,58,21,194,64,22,343,64,40,0,41,88,353,0,0,0,0,0,450,23
391,43,421,99,85,271,62,24,199,27,39,214,121,64,0,112,40,354,0,0,0,0,0,304,33,43,63,76,40,291,58,34,131,60,22,332,62,44,0,39,76,345,0,0,0,0,0,420,22
392,35,275,98,96,307,70,54,184,39,42,184,73,89,0,116,43,384,0,0,0,0,0,303,33,41,249,74,40,297,59,47,108,89,22,335,62,26,0,46,69,370,0,0,0,0,0,434,22
393,34,164,99,112,359,82,35,112,32,40,192,109,87,0,125,52,466,0,0,0,0,0,294,32,39,273,82,55,399,79,30,122,80,22,335,62,36,0,37,88,497,0,0,0,0,0,425,22
394,44,235,94,101,326,75,46,153,27,60,256,121,62,0,82,49,440,0,0,0,0,0,357,39,64,241,110,45,336,67,42,189,89,23,351,65,39,0,44,95,409,0,0,0,0,0,478,25
395,44,250,71,120,386,89,43,163,34,46,214,96,113,0,75,54,482,0,0,0,0,0,296,32,39,175,89,53,392,78,34,196,105,20,296,55,47,0,40,84,476,0,0,0,0,0,399,20
396,44,345,73,104,335,77,60,222,23,38,180,117,77,0,89,49,439,0,0,0,0,0,282,31,59,179,116,49,360,72,33,135,69,20,296,55,43,0,42,73,438,0,0,0,0,0,423,22
397,35,298,100,87,278,64,44,139,22,45,176,95,105,0,97,36,324,0,0,0,0,0,288,32,41,176,38,34,247,49,40,141,72,20,308,57,29,0,43,87,301,0,0,0,0,0,367,19
